,Sentiment,Text
4610,negative,is new mkt strategy to be average like all the rest whathappend rr points devalued again
4611,negative,do these scavenger hunt locations have anything in common because i m playing detective trying to figure out the one for atl
4612,neutral,why do you have to be 18
4613,negative,ruined my sunday 3 hours of delays out of dia now my bags are at the wrong airport 35 to deliver them insult to injury
4614,positive,what can we do to bring you back to jackson ms we miss you terribly around here these other airlines are horrible
4615,neutral,any idea why tsa pre check isn t showing for my next flight tomorrow the number is in my profile
4616,positive,3 hours and 80 degree difference yes please mht to mco sadie4406
4617,negative,sent looking for that functionality in your app though should be a one click action
4618,neutral,still there i was posted up in downtown waiting for y all on my way
4619,negative,like kelsey said really bad spot for locals do you know how long it takes to find parking then walking over to the bellagio
4620,neutral,are 5 people there
4621,positive,looks like bellagio to me good luck people see you at the show at vinyl
4622,neutral,southwestair congrats to these fans who are seeing destinationdragons in l a slc you re next   thanks again sw
4623,positive,can a pair of tickets waiting for me after my sports practice i live here and definitely know where that is imaginedragons
4624,positive,love southwest you guys have been good to me
4625,negative,how about destinationdragon tix for tonite for the inconvenience since i am not there to play scavenger hunt
4626,neutral,dang if only practice was an hour late flightr today
4627,neutral,that was supposed to say boo not book booo
4628,neutral,vegas i was there 5 days ago miss the warm weather
4629,positive,your crew on 3138 is doing a great job of keeping everyone informed during the delays givethemraises
4630,negative,right we re delayed so i m crabby also why do you allow one family member to purchase earlybird check in and hold rows
4631,positive,really easy for locals to get down to the strip book
4632,neutral,grrrrrr i need a flight there first maybe for my bday next month
4633,positive,luv your new luv television commercials traveled on your airline last year return trip from nyc feltthelove
4634,neutral,is it possible to add travel arranged by my employer to my upcoming travel i can retrieve a reservation but that s it
4635,neutral,i sent a email to customer relations and i will be calling tomorrow
4636,neutral,how do get priority seating after you already paid for the flight
4637,negative,10 people pre boarded only 1 needed a wheel chair off the plane was not the case boarding
4638,neutral,is it possible to add companion to only the 2nd leg of a trip
4639,positive,best airline
4640,positive,netneutrality nice to see you prioritize internet traffic to your own streaming service over other web sites
4641,negative,poor customer service displayed over the weekend during the storm i was stuck on the tarmac for 2 5 hours with no answer
4642,neutral,northern california coast
4643,neutral,hi guys do you have a general enquires email address please thanks david
4644,neutral,watching planes do their thing
4645,positive,thanks for getting us to paradise safely
4646,negative,feeling very frustrated that i bought wifi onboard and can t load an email
4647,neutral,continues to prove to be the best airlines
